ticker,asset_name,asset_group,sequence_in_5d_window,date,close,run_timestamp_utc,run_timestamp_et
SPY,S&P 500 proxy,Index proxy,1,2026-06-05,737.55,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
SPY,S&P 500 proxy,Index proxy,2,2026-06-08,739.22,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
SPY,S&P 500 proxy,Index proxy,3,2026-06-09,737.05,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
SPY,S&P 500 proxy,Index proxy,4,2026-06-10,725.43,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
SPY,S&P 500 proxy,Index proxy,5,2026-06-11,729.4,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
QQQ,Nasdaq 100 proxy,Index proxy,1,2026-06-05,705.06,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
QQQ,Nasdaq 100 proxy,Index proxy,2,2026-06-08,716.07,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
QQQ,Nasdaq 100 proxy,Index proxy,3,2026-06-09,707.83,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
QQQ,Nasdaq 100 proxy,Index proxy,4,2026-06-10,693.69,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
QQQ,Nasdaq 100 proxy,Index proxy,5,2026-06-11,703.05,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
IWM,Russell 2000 proxy,Index proxy,1,2026-06-05,281.65,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
IWM,Russell 2000 proxy,Index proxy,2,2026-06-08,284.11,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
IWM,Russell 2000 proxy,Index proxy,3,2026-06-09,285.02,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
IWM,Russell 2000 proxy,Index proxy,4,2026-06-10,282.05,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
IWM,Russell 2000 proxy,Index proxy,5,2026-06-11,286.35,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLK,Technology sector proxy,Sector proxy,1,2026-06-05,180.3,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLK,Technology sector proxy,Sector proxy,2,2026-06-08,184.18,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLK,Technology sector proxy,Sector proxy,3,2026-06-09,180.77,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLK,Technology sector proxy,Sector proxy,4,2026-06-10,176.63,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLK,Technology sector proxy,Sector proxy,5,2026-06-11,179.14,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLF,Financials sector proxy,Sector proxy,1,2026-06-05,52.3,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLF,Financials sector proxy,Sector proxy,2,2026-06-08,51.97,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLF,Financials sector proxy,Sector proxy,3,2026-06-09,52.46,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLF,Financials sector proxy,Sector proxy,4,2026-06-10,52.23,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLF,Financials sector proxy,Sector proxy,5,2026-06-11,52.23,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLE,Energy sector proxy,Sector proxy,1,2026-06-05,57.67,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLE,Energy sector proxy,Sector proxy,2,2026-06-08,58.33,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLE,Energy sector proxy,Sector proxy,3,2026-06-09,57.39,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLE,Energy sector proxy,Sector proxy,4,2026-06-10,58.25,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
XLE,Energy sector proxy,Sector proxy,5,2026-06-11,58.51,2026-06-11T14:23:48.670973+00:00,2026-06-11T10:23:48.670973-04:00
